Country,State,District,Year,Social Group Type,Land Area Size,Category Of Holdings,"Wholly Owned And Self Operated Holdings (UOM:Number), Scaling Factor:1","Area Of Wholly Owned And Self Operated Holdings (UOM:Ha(Hectare)), Scaling Factor:1","Wholly Leased-In Holdings (UOM:Number), Scaling Factor:1","Area Of Wholly Leased-In Holdings (UOM:Ha(Hectare)), Scaling Factor:1","Wholly Otherwise Operated Holdings (UOM:Number), Scaling Factor:1","Area Of Wholly Otherwise Operated Holdings (UOM:Ha(Hectare)), Scaling Factor:1","Partly Owned And Partly Leased-In Holdings (UOM:Number), Scaling Factor:1","Owned Area Of Partly Owned And Partly Leased-In Holdings (UOM:Ha(Hectare)), Scaling Factor:1","Leased Area Of Partly Owned And Partly Leased-In Holdings (UOM:Ha(Hectare)), Scaling Factor:1","Partly Owned And Partly Otherwise Operated Holdings (UOM:Number), Scaling Factor:1","Owned Area Of Partly Owned And Partly Otherwise Operated Holdings (UOM:Ha(Hectare)), Scaling Factor:1","Operated Area Of Partly Owned And Partly Otherwise Operated Holdings (UOM:Ha(Hectare)), Scaling Factor:1","Partly Leased-In And Partly Otherwise Operated Holdings (UOM:Number), Scaling Factor:1","Leased-In Area Of Partly Leased-In And Partly Otherwise Operated Holdings (UOM:Ha(Hectare)), Scaling Factor:1","Operated Area Of Partly Leased-In And Partly Otherwise Operated Holdings (UOM:Ha(Hectare)), Scaling Factor:1","Partly Owned, Partly Leased-In And Partly Otherwise Operated Holdings (UOM:Number), Scaling Factor:1","Owned Area Of Partly Owned, Partly Leased-In And Partly Otherwise Operated Holdings (UOM:Ha(Hectare)), Scaling Factor:1","Leased-In Area Of Partly Owned, Partly Leased-In And Partly Otherwise Operated Holdings (UOM:Ha(Hectare)), Scaling Factor:1","Operated Area Of Partly Owned, Partly Leased-In And Partly Otherwise Operated Holdings (UOM:Ha(Hectare)), Scaling Factor:1"
India,Andaman and Nicobar Islands,Nicobars,"Agriculture Year (Jul - Jun), 2015",Scheduled Caste,Below 0.5,Marginal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India,Andaman and Nicobar Islands,Nicobars,"Agriculture Year (Jul - Jun), 2015",Scheduled Caste,(0.5-1.0),Marginal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India,Andaman and Nicobar Islands,Nicobars,"Agriculture Year (Jul - Jun), 2015",Scheduled Caste,(1.0-2.0),Small,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India,Andaman and Nicobar Islands,Nicobars,"Agriculture Year (Jul - Jun), 2015",Scheduled Caste,(2.0-3.0),Semi-Medium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India,Andaman and Nicobar Islands,Nicobars,"Agriculture Year (Jul - Jun), 2015",Scheduled Caste,(3.0-4.0),Semi-Medium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India,Andaman and Nicobar Islands,Nicobars,"Agriculture Year (Jul - Jun), 2015",Scheduled Caste,(4.0-5.0),Medium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India,Andaman and Nicobar Islands,Nicobars,"Agriculture Year (Jul - Jun), 2015",Scheduled Caste,(5.0-7.5),Medium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India,Andaman and Nicobar Islands,Nicobars,"Agriculture Year (Jul - Jun), 2015",Scheduled Caste,(7.5-10.0),Medium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India,Andaman and Nicobar Islands,Nicobars,"Agriculture Year (Jul - Jun), 2015",Scheduled Caste,(10.0-20.0),Large,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India,Andaman and Nicobar Islands,Nicobars,"Agriculture Year (Jul - Jun), 2015",Scheduled Caste,20 & Above,Large,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India,Andaman and Nicobar Islands,Nicobars,"Agriculture Year (Jul - Jun), 2015",Scheduled Tribes,Below 0.5,Marginal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India,Andaman and Nicobar Islands,Nicobars,"Agriculture Year (Jul - Jun), 2015",Scheduled Tribes,(0.5-1.0),Marginal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India,Andaman and Nicobar Islands,Nicobars,"Agriculture Year (Jul - Jun), 2015",Scheduled Tribes,(1.0-2.0),Small,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India,Andaman and Nicobar Islands,Nicobars,"Agriculture Year (Jul - Jun), 2015",Scheduled Tribes,(2.0-3.0),Semi-Medium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India,Andaman and Nicobar Islands,Nicobars,"Agriculture Year (Jul - Jun), 2015",Scheduled Tribes,(3.0-4.0),Semi-Medium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India,Andaman and Nicobar Islands,Nicobars,"Agriculture Year (Jul - Jun), 2015",Scheduled Tribes,(4.0-5.0),Medium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India,Andaman and Nicobar Islands,Nicobars,"Agriculture Year (Jul - Jun), 2015",Scheduled Tribes,(5.0-7.5),Medium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India,Andaman and Nicobar Islands,Nicobars,"Agriculture Year (Jul - Jun), 2015",Scheduled Tribes,(7.5-10.0),Medium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India,Andaman and Nicobar Islands,Nicobars,"Agriculture Year (Jul - Jun), 2015",Scheduled Tribes,(10.0-20.0),Large,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India,Andaman and Nicobar Islands,Nicobars,"Agriculture Year (Jul - Jun), 2015",Scheduled Tribes,20 & Above,Large,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India,Andaman and Nicobar Islands,Nicobars,"Agriculture Year (Jul - Jun), 2015",Institutional,Below 0.5,Marginal,29,4.829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India,Andaman and Nicobar Islands,Nicobars,"Agriculture Year (Jul - Jun), 2015",Institutional,(0.5-1.0),Marginal,4,3.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India,Andaman and Nicobar Islands,Nicobars,"Agriculture Year (Jul - Jun), 2015",Institutional,(1.0-2.0),Small,5,7.533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India,Andaman and Nicobar Islands,Nicobars,"Agriculture Year (Jul - Jun), 2015",Institutional,(2.0-3.0),Semi-Medium,5,12.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India,Andaman and Nicobar Islands,Nicobars,"Agriculture Year (Jul - Jun), 2015",Institutional,(3.0-4.0),Semi-Medium,2,6.733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India,Andaman and Nicobar Islands,Nicobars,"Agriculture Year (Jul - Jun), 2015",Institutional,(4.0-5.0),Medium,3,12.105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India,Andaman and Nicobar Islands,Nicobars,"Agriculture Year (Jul - Jun), 2015",Institutional,(5.0-7.5),Medium,1,5.812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India,Andaman and Nicobar Islands,Nicobars,"Agriculture Year (Jul - Jun), 2015",Institutional,(7.5-10.0),Medium,1,7.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India,Andaman and Nicobar Islands,Nicobars,"Agriculture Year (Jul - Jun), 2015",Institutional,(10.0-20.0),Large,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India,Andaman and Nicobar Islands,Nicobars,"Agriculture Year (Jul - Jun), 2015",Institutional,20 & Above,Large,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India,Andaman and Nicobar Islands,Nicobars,"Agriculture Year (Jul - Jun), 2015",Others,Below 0.5,Marginal,134,55.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India,Andaman and Nicobar Islands,Nicobars,"Agriculture Year (Jul - Jun), 2015",Others,(0.5-1.0),Marginal,29,24.031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India,Andaman and Nicobar Islands,Nicobars,"Agriculture Year (Jul - Jun), 2015",Others,(1.0-2.0),Small,51,77.897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India,Andaman and Nicobar Islands,Nicobars,"Agriculture Year (Jul - Jun), 2015",Others,(2.0-3.0),Semi-Medium,50,117.652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India,Andaman and Nicobar Islands,Nicobars,"Agriculture Year (Jul - Jun), 2015",Others,(3.0-4.0),Semi-Medium,38,131.768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India,Andaman and Nicobar Islands,Nicobars,"Agriculture Year (Jul - Jun), 2015",Others,(4.0-5.0),Medium,150,723.693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India,Andaman and Nicobar Islands,Nicobars,"Agriculture Year (Jul - Jun), 2015",Others,(5.0-7.5),Medium,56,354.634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India,Andaman and Nicobar Islands,Nicobars,"Agriculture Year (Jul - Jun), 2015",Others,(7.5-10.0),Medium,1,8.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India,Andaman and Nicobar Islands,Nicobars,"Agriculture Year (Jul - Jun), 2015",Others,(10.0-20.0),Large,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India,Andaman and Nicobar Islands,Nicobars,"Agriculture Year (Jul - Jun), 2015",Others,20 & Above,Large,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India,Andaman and Nicobar Islands,North and Middle Andaman,"Agriculture Year (Jul - Jun), 2015",Scheduled Caste,Below 0.5,Marginal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
